source,relation,target,source_type,target_type
laser induced fluorescence,usesDevice_Device_measures,reduced electric field,Scientific Experiment,Quantity
reaction chamber,usedIn_ResearchActivity_hasMedium,supplying gas,Diagnostic Device,Medium
tube,usedIn_ResearchActivity_hasPlasmaSource,RF,Diagnostic Device,Plasma Source
LASER,usedIn_ResearchActivity_hasPlasmaSource,LASER SUSTAINED,Diagnostic Device,Plasma Source
kV pp,unit_of,current,Unit,Quantity
device,usedIn_ResearchActivity_investigates,Z -pinch,Diagnostic Device,Physical Effect
laser photodetachment,investigates,photodetachment,Scientific Experiment,Physical Effect
reactor,usedIn_ResearchActivity_investigates,the aerodynamic focusing,Diagnostic Device,Physical Effect
polymerized,hasApplicationField,plasma -polymerized,Plasma Study,Application Field
temperature transmitter,usedToDiagnose_MaterialEntity_hasApplicationField,heating,Diagnostic Device,Application Field
in situ detection,hasPlasmaSource,DBDs,Scientific Experiment,Plasma Source
measured,usesDevice_Device_measures,currents,Scientific Experiment,Quantity
plasma generator,usedIn_ResearchActivity_hasMedium,gas mixture,Diagnostic Device,Medium
residence times,hasUnit,sccm,Quantity,Unit
absorption measurements,investigates,broad second excimer continua,Scientific Experiment,Physical Effect
K,unit_of,rotational temperature,Unit,Quantity
discharge properties,generatedBy_measures,residence times,Plasma Study,Quantity
anode,measures,phase,Diagnostic Device,Quantity
spatio temporal DBD development i a,usesDevice_Device_measures,pause times,Scientific Experiment,Quantity
DBD,uses,virtually pure N 2,Plasma Source,Medium
power plant,usedIn_ResearchActivity_investigates,catalysis,Diagnostic Device,Physical Effect
minute,unit_of,surface charges,Unit,Quantity
torus,measures,transverse magnetic field,Diagnostic Device,Quantity
circuits,measures,current,Diagnostic Device,Quantity
discharge current,hasUnit,mA,Quantity,Unit
experimental findings,usesDevice_Device_measures,spatio temporal distributions,Scientific Experiment,Quantity
permanent magnet,measures,the electric field,Diagnostic Device,Quantity
synchrotron,usedIn_ResearchActivity_investigates,superconducting,Diagnostic Device,Physical Effect
iCCD single shots,usesDevice_Device_measures,diameter,Scientific Experiment,Quantity
plasma processing system,measures,electromagnetic force,Diagnostic Device,Quantity
atmospheric,hasApplicationField,pollution control,Plasma Study,Application Field
m,unit_of,volume,Unit,Quantity
jet,measures,-voltage,Diagnostic Device,Quantity
vacuum equipment,hasMedium,atmospheric pressure,Scientific Experiment,Medium
generator,usedIn_ResearchActivity_investigates,combustion,Diagnostic Device,Physical Effect
high frequency,measures,current,Plasma Source,Quantity
DBDs,measures,power,Plasma Source,Quantity
CCS,hasPlasmaSource_generates,MD channel,Scientific Experiment,Plasma Study
reactor,usedIn_ResearchActivity_hasPlasmaSource,magnetic field,Diagnostic Device,Plasma Source
plasma jet,measures,electron density,Plasma Source,Quantity
mA cm 2,unit_of,current density,Unit,Quantity
current waveform,hasUnit,vol,Quantity,Unit
power,hasUnit,mW,Quantity,Unit
emission spectrum,generatedBy_measures,spatio temporal structure of the MD luminosity,Plasma Study,Quantity
experimental data,investigates,saturation,Scientific Experiment,Physical Effect
impedance,usedIn_ResearchActivity_hasPlasmaSource,inductively coupled plasma,Diagnostic Device,Plasma Source
connector,measures,distance,Diagnostic Device,Quantity
microseconds,unit_of,repetition rate,Unit,Quantity
High -density,hasApplicationField,ionized metal deposition,Plasma Study,Application Field
capacitors,usedIn_ResearchActivity_hasPlasmaSource,plasma torch,Diagnostic Device,Plasma Source
atmospheric pressure,generatedBy_measures,transition times,Plasma Study,Quantity
electron source,measures,temperature,Plasma Source,Quantity
processing chambers,measures,stray capacitance,Diagnostic Device,Quantity
MFCs,usedIn_ResearchActivity_hasMedium,gas purity of 99 999,Diagnostic Device,Medium
generator,usedIn_ResearchActivity_hasPlasmaSource,plasma source,Diagnostic Device,Plasma Source
N 2 O concentration,hasUnit,ppm,Quantity,Unit
control unit,usedIn_ResearchActivity_hasPlasmaSource,high -frequency,Diagnostic Device,Plasma Source
period,hasUnit,kV pp,Quantity,Unit
linear magnet,measures,magnetic field,Diagnostic Device,Quantity
anode,usedIn_ResearchActivity_hasMedium,electrons,Diagnostic Device,Medium
measurement of MD current pulses,usesDevice_Device_measures,MD current,Scientific Experiment,Quantity
discharge characteristics,generatedBy_measures,streamer propagation velocity,Plasma Study,Quantity
Quanta Ray GCR 130,measures,pulse energy,Diagnostic Device,Quantity
device,usedIn_ResearchActivity_investigates,plasma confinement,Diagnostic Device,Physical Effect
E N,hasUnit,nanosecond,Quantity,Unit
observed,usesConfiguration,metal cathode,Scientific Experiment,Configuration
dielectric barrier discharge,uses,0 1 vol O 2 in N 2,Plasma Source,Medium
DC,uses,He,Plasma Source,Medium
spectrometer,usedIn_ResearchActivity_hasPlasmaSource,plasma torch,Diagnostic Device,Plasma Source
cm 3,unit_of,electron densities,Unit,Quantity
electric field strength,hasUnit,mbar,Quantity,Unit
electrode body,measures,current intensity,Diagnostic Device,Quantity
low temperature,hasApplicationField,"destruction of liquid organic wastes , medical wastes , municipal wastes",Plasma Study,Application Field
output control unit,usedIn_ResearchActivity_hasPlasmaSource,plasma ignition apparatus,Diagnostic Device,Plasma Source
gassifier,measures,heat energy,Diagnostic Device,Quantity
control unit MKS 647B,usedIn_ResearchActivity_hasMedium,gas purity 99 999,Diagnostic Device,Medium
Synchronized,investigates,discharge emission,Scientific Experiment,Physical Effect
current pulses,hasUnit,vol,Quantity,Unit
apparatus,usedToDiagnose_MaterialEntity_hasApplicationField,plasma treatment of temperature sensitive particulate materials,Diagnostic Device,Application Field
high frequency,measures,carbides,Plasma Source,Quantity
aspirator,usedToDiagnose_MaterialEntity_hasApplicationField,liquid treatment,Diagnostic Device,Application Field
dry air,used_in,coplanar DBD,Medium,Plasma Source
corona discharges,measures,O 2 concentration,Plasma Source,Quantity
higher density,generatedBy_measures,density,Plasma Study,Quantity
oxygen,used_in,BDs,Medium,Plasma Source
gas analysis,usedIn_ResearchActivity_investigates,ionization,Diagnostic Device,Physical Effect
DBD,uses,lower pressure,Plasma Source,Medium
Hamamatsu C5680 21C,usedIn_ResearchActivity_hasPlasmaSource,DBD,Diagnostic Device,Plasma Source
DBD,uses,air,Plasma Source,Medium
chambers,measures,time,Diagnostic Device,Quantity
over -pressure relief valve,usedIn_ResearchActivity_hasPlasmaSource,plasma arc,Diagnostic Device,Plasma Source
determination of active species densities,hasPlasmaSource_generates,discharge development,Scientific Experiment,Plasma Study
ICCD gate width,usesDevice_Device_measures,period,Scientific Experiment,Quantity
observed,usesConfiguration,metallic rod,Scientific Experiment,Configuration
discharge development,generatedBy_measures,current,Plasma Study,Quantity
iCCD images,usesDevice_Device_measures,emission profiles,Scientific Experiment,Quantity
gun,usedIn_ResearchActivity_hasMedium,gas,Diagnostic Device,Medium
APPARATUS,usedIn_ResearchActivity_hasPlasmaSource,ATMOSPHERIC PRESSURE PLASMA,Diagnostic Device,Plasma Source
pF,unit_of,discharge current,Unit,Quantity
observed,usesDevice_Device_measures,transferred charge,Scientific Experiment,Quantity
power generator,usedIn_ResearchActivity_hasPlasmaSource,RF,Diagnostic Device,Plasma Source
DBD,measures,power density,Plasma Source,Quantity
cm,unit_of,thermal current,Unit,Quantity
non thermal,generatedBy_measures,pressure,Plasma Study,Quantity
magnetic field generator,usedIn_ResearchActivity_hasPlasmaSource,dipole ring magnet,Diagnostic Device,Plasma Source
plasma processor,measures,field,Plasma Source,Quantity
experiments,usesConfiguration,symmetric single filament,Scientific Experiment,Configuration
cryogenic refrigerator,measures,temperatures,Diagnostic Device,Quantity
CCS,measures,electron density,Diagnostic Device,Quantity
pulsed,uses,working gas,Plasma Source,Medium
power source,usedIn_ResearchActivity_investigates,frequency,Diagnostic Device,Physical Effect
pulsed,generatedBy_measures,pressure,Plasma Study,Quantity
0 25 m monochromator,measures_hasUnit,g mm,Diagnostic Device,Unit
CCS measurements,usesConfiguration,dielectric surfaces,Scientific Experiment,Configuration
switch,measures,frequency,Diagnostic Device,Quantity
nm,unit_of,UV and the visible spectral range,Unit,Quantity
images,usesDevice_Device_measures,intensity,Scientific Experiment,Quantity
rotation,usedIn_ResearchActivity_investigates,polarization,Diagnostic Device,Physical Effect
kHz,unit_of,pause time,Unit,Quantity
Charged particle accelerator,measures,acceleration,Diagnostic Device,Quantity
negative -electrode terminal,measures,velocity,Plasma Source,Quantity
streak camera images,investigates,cathode and anode directed streamers,Scientific Experiment,Physical Effect
plasma diagnostics,usesDevice_Device_measures,electron density,Scientific Experiment,Quantity
high pressure,hasApplicationField,excimer formation,Plasma Study,Application Field
APGD,uses,pure helium,Plasma Source,Medium
cross correlation spectroscopy,usesDevice_Device_measures,luminosity,Scientific Experiment,Quantity
spatial homogeneity,generatedBy_measures,gap width,Plasma Study,Quantity
current transformer,measures,frequency,Diagnostic Device,Quantity
SDBDs,measures,gas flow,Plasma Source,Quantity
electromagnet,measures,energy,Diagnostic Device,Quantity
APGD,measures,ionization rate,Plasma Source,Quantity
RF energy source,measures,RF energy,Diagnostic Device,Quantity
measured electrical quantities,usesDevice_Device_measures,area,Scientific Experiment,Quantity
Tektronix DPO 7254C,measures_hasUnit,ns,Diagnostic Device,Unit
laser photodetachment experiments,investigates,photodetachment,Scientific Experiment,Physical Effect
capacitive coupling,uses,etchant gas,Plasma Source,Medium
pulse energy,hasUnit,mJ,Quantity,Unit
doubled mean free path,hasUnit,bar,Quantity,Unit
CCS,usesDevice_Device_measures,pressure,Scientific Experiment,Quantity
interfering signals,usesDevice_Device_measures,voltage,Scientific Experiment,Quantity
laser pulse,investigates,electron attachment,Scientific Experiment,Physical Effect
electric field strength,hasUnit,Td,Quantity,Unit
pF,unit_of,current,Unit,Quantity
nF,unit_of,discharge current,Unit,Quantity
gas analysis,usedIn_ResearchActivity_investigates,stabilisation,Diagnostic Device,Physical Effect
power supply unit,measures,heat,Diagnostic Device,Quantity
electrode,usedIn_ResearchActivity_hasPlasmaSource,RF,Diagnostic Device,Plasma Source
device,usedIn_ResearchActivity_hasPlasmaSource,spheromak,Diagnostic Device,Plasma Source
averaged over the radial axis,usesDevice_Device_measures,electric field,Scientific Experiment,Quantity
discharge chamber,measures,flow,Diagnostic Device,Quantity
DBDs,measures_hasUnit,kV pp,Plasma Source,Unit
rise time,hasUnit,V ns 1,Quantity,Unit
discharge channel,generatedBy_measures,DBD current maximum,Plasma Study,Quantity
measurements of the discharge current,investigates,streamer,Scientific Experiment,Physical Effect
particle injector,usedIn_ResearchActivity_hasPlasmaSource,plasma source,Diagnostic Device,Plasma Source
ICCD gain,usesDevice_Device_measures,signal intensity,Scientific Experiment,Quantity
electrical quantities,usesDevice_Device_measures,transferred charge,Scientific Experiment,Quantity
time,hasUnit,charge carriers per unit of time,Quantity,Unit
measured total current,usesDevice_Device_measures,discharge current,Scientific Experiment,Quantity
N 2 O admixtures,used_in,DBD,Medium,Plasma Source
cylindrical metal tube,usedIn_ResearchActivity_investigates,breakdown,Diagnostic Device,Physical Effect
pulse duration,hasUnit,ns,Quantity,Unit
housing,measures,flow,Diagnostic Device,Quantity
spectrometer,usedIn_ResearchActivity_hasPlasmaSource,microwave,Diagnostic Device,Plasma Source
microdischarges,measures,pressure,Plasma Source,Quantity
compact,measures,magnetic field,Plasma Source,Quantity
FPC,usedIn_ResearchActivity_hasMedium,air,Diagnostic Device,Medium
gas temperature,hasUnit,Pa,Quantity,Unit
low frequency,measures,potential,Plasma Source,Quantity
current,hasUnit,s,Quantity,Unit
laser,usesDevice_Device_measures,wavelength,Scientific Experiment,Quantity
electron density,hasUnit,cm 3,Quantity,Unit
gun,usedIn_ResearchActivity_hasPlasmaSource,negative -electrode jacket,Diagnostic Device,Plasma Source
custom build 50 Ω resistor,measures_hasUnit,GS s 1,Diagnostic Device,Unit
Lissajous figures,usesDevice_Device_measures,periods,Scientific Experiment,Quantity
kHz,unit_of,energy efficiency,Unit,Quantity
jet,measures,flux,Plasma Source,Quantity
observed,usesDevice_Device_measures,polarity,Scientific Experiment,Quantity
reaction chamber,usedIn_ResearchActivity_hasMedium,main gas,Diagnostic Device,Medium
plasma chamber,measures,distance,Diagnostic Device,Quantity
reactor,usedToDiagnose_MaterialEntity_hasApplicationField,plasma etch,Diagnostic Device,Application Field
high resolution,usesDevice_Device_measures,pressure,Scientific Experiment,Quantity
bar an,unit_of,doubled mean free path,Unit,Quantity
charge measurement,usesDevice_Device_measures,humidity,Scientific Experiment,Quantity
apparatus,usedIn_ResearchActivity_investigates,electrostatic deflection,Diagnostic Device,Physical Effect
spatially integrated over the gap,investigates,emission,Scientific Experiment,Physical Effect
phase resolved surface charge,usesDevice_Device_measures,surface charge,Scientific Experiment,Quantity
capacitance,hasUnit,pF,Quantity,Unit
Hamamatsu C5680 21C,measures_hasUnit,µm,Diagnostic Device,Unit
FNS 0 0 intensity,hasUnit,eV,Quantity,Unit
microsecond,unit_of,emission maximum,Unit,Quantity
DBDs,measures,recombination rate,Plasma Source,Quantity
atmospheric pressure,generatedBy_measures,voltage,Plasma Study,Quantity
experiments,investigates,breakdown,Scientific Experiment,Physical Effect
Acton Research Corporation SpectraPro,measures,focal length,Diagnostic Device,Quantity
electric field,hasUnit,s,Quantity,Unit
pressure,hasUnit,bar an,Quantity,Unit
Undulator,usedIn_ResearchActivity_investigates,frequency,Diagnostic Device,Physical Effect
streak camera,usedIn_ResearchActivity_investigates,temporal jitter of the breakdown,Diagnostic Device,Physical Effect
gas flow rates,hasUnit,sccm,Quantity,Unit
corona generator,usedIn_ResearchActivity_investigates,electric field,Diagnostic Device,Physical Effect
Laser photodetachment experiments,investigates,Laser photodetachment,Scientific Experiment,Physical Effect
atmospheric -pressure plasma,generatedBy_measures,time,Plasma Study,Quantity
laser pulse energy,hasUnit,microseconds,Quantity,Unit
kV,unit_of,polarity,Unit,Quantity
gas velocity,hasUnit,sccm,Quantity,Unit
devices,measures,temperature,Diagnostic Device,Quantity
cell,usedIn_ResearchActivity_hasPlasmaSource,operating conditions,Diagnostic Device,Plasma Source
non equilibrium,generatedBy_measures,dilute pollutant concentrations,Plasma Study,Quantity
generation of a power output,measures,frequency,Diagnostic Device,Quantity
gas supply unit,measures,heat,Diagnostic Device,Quantity
pulsed,measures,current densities,Plasma Source,Quantity
experimental results,usesConfiguration,discharge cell geometry,Scientific Experiment,Configuration
cross correlation spectroscopy,usesDevice_Device_measures,MD current,Scientific Experiment,Quantity
NANO -EMITTER,usedIn_ResearchActivity_hasPlasmaSource,ION SOURCE,Diagnostic Device,Plasma Source
spatial resolution,investigates,temporal discharge jitter,Scientific Experiment,Physical Effect
pulsed,measures,density,Plasma Source,Quantity
observation,investigates,breakdown,Scientific Experiment,Physical Effect
DC SOURCE,usedToDiagnose_MaterialEntity_hasApplicationField,SPUTTERING,Diagnostic Device,Application Field
positive column,generatedBy_measures,volume,Plasma Study,Quantity
plasma processing device,usedToDiagnose_MaterialEntity_hasApplicationField,etching,Diagnostic Device,Application Field
Electrical behavior and characterization,usesDevice_Device_measures,voltage,Scientific Experiment,Quantity
plasma supply device,usedIn_ResearchActivity_hasPlasmaSource,DC,Diagnostic Device,Plasma Source
plasma processing chamber,usedIn_ResearchActivity_hasPlasmaSource,plasma excitation electrode,Diagnostic Device,Plasma Source
vacuum equipment,involves_MaterialEntity_hasApplicationField,surface treatment,Scientific Experiment,Application Field
processor,usedToDiagnose_MaterialEntity_hasApplicationField,Sterilization,Diagnostic Device,Application Field
gas supply device,usedIn_ResearchActivity_hasMedium,plasma -generating gas,Diagnostic Device,Medium
energetic yield of ozone,hasUnit,W,Quantity,Unit
quasi stationary,generatedBy_measures,reduced field strength,Plasma Study,Quantity
TDS 7054,measures_hasUnit,GS s 1,Diagnostic Device,Unit
high electrical fields,hasUnit,µm,Quantity,Unit
atmospheric pressure Townsend discharge,measures_hasUnit,mm,Plasma Source,Unit
cm,unit_of,breakdown voltage,Unit,Quantity
generator,measures,frequency,Diagnostic Device,Quantity
experimental data,usesDevice_Device_measures,energy efficiency,Scientific Experiment,Quantity
plasma discharge,measures,power,Plasma Source,Quantity
cavity,usedIn_ResearchActivity_hasPlasmaSource,-high frequency,Diagnostic Device,Plasma Source
gas,used_in,arc,Medium,Plasma Source
bar,unit_of,duration,Unit,Quantity
discharge zone,generatedBy_measures,residence time,Plasma Study,Quantity
chambers,usedToDiagnose_MaterialEntity_hasApplicationField,plasma processing,Diagnostic Device,Application Field
plasma reaction chamber,measures,time,Plasma Source,Quantity
spatiotemporal evolution,generatedBy_measures,applied voltage U,Plasma Study,Quantity
laser pulse,investigates,photodesorption,Scientific Experiment,Physical Effect
voltage,hasUnit,ns,Quantity,Unit
polarity,hasUnit,nC,Quantity,Unit
velocity,hasUnit,vol,Quantity,Unit
High -Frequency,usedIn_ResearchActivity_hasMedium,Atmospheric Pressure,Diagnostic Device,Medium
experimental conditions,hasPlasmaSource_generates,striations,Scientific Experiment,Plasma Study
velocities,hasUnit,s,Quantity,Unit
nm,unit_of,spatio temporal structure of the MD luminosity,Unit,Quantity
corona electrodes,measures,breakdown voltage,Plasma Source,Quantity
sccm,unit_of,length,Unit,Quantity
high power,generatedBy_measures,frequencies,Plasma Study,Quantity
arc discharge,measures,magnetic field,Plasma Source,Quantity
glass tube,measures,stationary axial field,Diagnostic Device,Quantity
reactors,usedIn_ResearchActivity_hasPlasmaSource,inductive coupling,Diagnostic Device,Plasma Source
experimental findings,usesConfiguration,dielectric covered electrode,Scientific Experiment,Configuration
BDs,uses,binary gas mixtures,Plasma Source,Medium
laser photodetachment experiment,usesDevice_Device_measures,negative ion density,Scientific Experiment,Quantity
µs,unit_of,intensity,Unit,Quantity
two dimensional images,hasPlasmaSource,DBDs,Scientific Experiment,Plasma Source
mbar,unit_of,temperature,Unit,Quantity
observed,usesDevice_Device_measures,discharge emission,Scientific Experiment,Quantity
oscilloscope,measures,duty cycles,Diagnostic Device,Quantity
breakdown field strength,hasUnit,ns,Quantity,Unit
reactive gas,used_in,discharge,Medium,Plasma Source
streak cameras,usedIn_ResearchActivity_hasMedium,atmospheric pressure,Diagnostic Device,Medium
discharge,measures,work,Plasma Source,Quantity
Experimental setup,usesConfiguration,concentric discharge cell configuration,Scientific Experiment,Configuration
DBDs,measures,electric field strength,Plasma Source,Quantity
electrical,uses,working gas,Plasma Source,Medium
streak images,investigates,propagation on the electrode surfaces,Scientific Experiment,Physical Effect
laser photodetachment,usesDevice_Device_measures,breakdown voltage,Scientific Experiment,Quantity
dielectric window,usedIn_ResearchActivity_hasPlasmaSource,RF energy source,Diagnostic Device,Plasma Source
V,unit_of,rise time,Unit,Quantity
Acton 2500i grating monochromator,measures,wavelength,Diagnostic Device,Quantity
DC SOURCE,usedIn_ResearchActivity_hasPlasmaSource,PULSED,Diagnostic Device,Plasma Source
control system,measures,power,Diagnostic Device,Quantity
plasmadynamic converter,usedIn_ResearchActivity_investigates,magnetohydrodynamic,Diagnostic Device,Physical Effect
m 6,unit_of,rate coefficients,Unit,Quantity
measured,investigates,streamer inception,Scientific Experiment,Physical Effect
spatiotemporal structure,usesDevice_Device_measures,electric field,Scientific Experiment,Quantity
power system,measures,electric power,Diagnostic Device,Quantity
optical diagnostics,hasMedium,gas mixture,Scientific Experiment,Medium
control unit MKS 647B,usedIn_ResearchActivity_hasMedium,gas purity of 99 999,Diagnostic Device,Medium
nozzle,measures,velocity,Diagnostic Device,Quantity
microdischarges,measures,electric field,Plasma Source,Quantity
bandwidth,hasUnit,GS,Quantity,Unit
vessel,measures,rotating field,Diagnostic Device,Quantity
experimental conditions,investigates,laser photodetachment,Scientific Experiment,Physical Effect
nozzle,usedIn_ResearchActivity_hasPlasmaSource,constant gas pressure,Diagnostic Device,Plasma Source
neutral gas density,hasUnit,K,Quantity,Unit
neutral gas density,hasUnit,m 3,Quantity,Unit
experimental conditions,usesDevice_Device_measures,spatio temporal structure of the MD luminosity,Scientific Experiment,Quantity
furnace,usedToDiagnose_MaterialEntity_hasApplicationField,melting and/or gasifying material,Diagnostic Device,Application Field
dielectric body,usedIn_ResearchActivity_investigates,electron cyclotron resonance,Diagnostic Device,Physical Effect
ns,unit_of,propagation velocities,Unit,Quantity
iCCD gate width,usesDevice_Device_measures,current,Scientific Experiment,Quantity
fundamental laser wavelength,usesDevice_Device_measures,binding energy,Scientific Experiment,Quantity
core tube,usedIn_ResearchActivity_hasPlasmaSource,welding and cutting,Diagnostic Device,Plasma Source
diaphragm pressure gauge,usesConfiguration,grounded electrode,Scientific Experiment,Configuration
gas flow,hasUnit,cm,Quantity,Unit
duration,hasUnit,nanosecond,Quantity,Unit
tracking of the breakdown,usesDevice_Device_measures,DBD emission,Scientific Experiment,Quantity
cathode,usedIn_ResearchActivity_hasMedium,plasma -generating gas,Diagnostic Device,Medium
two dimensional array of the values of relative electron density,usesDevice_Device_measures,rate constants,Scientific Experiment,Quantity
membrane pump,usesConfiguration,symmetric single filament,Scientific Experiment,Configuration
ppm,unit_of,current,Unit,Quantity
experimental work,usesDevice_Device_measures,conversion degree,Scientific Experiment,Quantity
clearance gas,used_in,processing substrates,Medium,Plasma Source
volume,hasUnit,mm,Quantity,Unit
ppm,unit_of,discharge,Unit,Quantity
atmospheric pressure,generatedBy_measures,electrical power,Plasma Study,Quantity
magnetron,usedIn_ResearchActivity_hasPlasmaSource,source,Diagnostic Device,Plasma Source
INDUCTIVELY COUPLED PLASMA,generatedBy_measures,RATIO,Plasma Study,Quantity
electrode,usedIn_ResearchActivity_hasPlasmaSource,dielectric barrier discharge,Diagnostic Device,Plasma Source
experimental conditions,usesDevice_Device_measures,applied voltages,Scientific Experiment,Quantity
reactor chamber,usedToDiagnose_MaterialEntity_hasApplicationField,plasma etch,Diagnostic Device,Application Field
controller,usedIn_ResearchActivity_hasPlasmaSource,accelerating electrode,Diagnostic Device,Plasma Source
BD,uses,pure nitrogen,Plasma Source,Medium
spectroscopic measuring techniques,hasPlasmaSource,microdischarges,Scientific Experiment,Plasma Source
experiment,usesDevice_Device_measures,SEI,Scientific Experiment,Quantity
pulsed,measures,gravitational field,Plasma Source,Quantity
reactor,usedToDiagnose_MaterialEntity_hasApplicationField,etch,Diagnostic Device,Application Field
power source,measures,0.1 -100 mTorr,Diagnostic Device,Quantity
velocity,hasUnit,mm ns 1,Quantity,Unit
ICCD,measures,signal intensity,Diagnostic Device,Quantity
excitation rate,hasUnit,nm,Quantity,Unit
cyclotron,measures,radial magnetic field,Diagnostic Device,Quantity
evacuated chamber,measures,high power,Diagnostic Device,Quantity
low temperature,generatedBy_measures,electrical power,Plasma Study,Quantity
switch,usedIn_ResearchActivity_hasPlasmaSource,electrical,Diagnostic Device,Plasma Source
nanoseconds,unit_of,voltage,Unit,Quantity
cold,hasApplicationField,vacuum gas plasma treatment,Plasma Study,Application Field
mm,unit_of,ionization rate,Unit,Quantity
elevated pressures,generatedBy_measures,pressure,Plasma Study,Quantity
experimental results,usesDevice_Device_measures,intensity distributions,Scientific Experiment,Quantity
wafer,usedIn_ResearchActivity_investigates,remote plasma,Diagnostic Device,Physical Effect
cameras,measures,pressure,Diagnostic Device,Quantity
jet,usedIn_ResearchActivity_hasPlasmaSource,non -thermal,Diagnostic Device,Plasma Source
wafer,measures,pressure,Diagnostic Device,Quantity
applied electric field,hasUnit,µs,Quantity,Unit
ion source chamber,measures,field,Plasma Source,Quantity
electrical measurements,usesDevice_Device_measures,discharge current,Scientific Experiment,Quantity
high temperature,hasApplicationField,electrical discharge,Plasma Study,Application Field
nanosecond,unit_of,E N,Unit,Quantity
binding energy,hasUnit,nm,Quantity,Unit
OES,hasPlasmaSource,DBD,Scientific Experiment,Plasma Source
DC reactor,usedIn_ResearchActivity_hasPlasmaSource,DC,Diagnostic Device,Plasma Source
metal ring,usedIn_ResearchActivity_hasPlasmaSource,DC,Diagnostic Device,Plasma Source
laser positions,usesConfiguration,anodic dielectric,Scientific Experiment,Configuration
cavity,usedIn_ResearchActivity_investigates,ionize,Diagnostic Device,Physical Effect
elevated pressures,generatedBy_measures,dimensions,Plasma Study,Quantity
spark plug,measures,power,Plasma Source,Quantity
MDs,measures,streamer velocities,Plasma Source,Quantity
Td,unit_of,reduced electric field strength,Unit,Quantity
kV,unit_of,acceleration,Unit,Quantity
impedance,generatedBy_measures,RF power,Plasma Study,Quantity
mA,unit_of,duration,Unit,Quantity
Abstract Dielectric barrier discharges,measures,pressure,Plasma Source,Quantity
emission spectrum apparatus,usedIn_ResearchActivity_hasPlasmaSource,glow discharge,Diagnostic Device,Plasma Source
APGD,uses,neon,Plasma Source,Medium
cavity,measures,frequencies,Diagnostic Device,Quantity
current voltage oscillography,usesDevice_Device_measures,current,Scientific Experiment,Quantity
Experimental results,hasMedium,virtually pure N 2,Scientific Experiment,Medium
set of electrodes,measures,heat,Plasma Source,Quantity
oscilloscope,measures_hasUnit,GHz,Diagnostic Device,Unit
low pressure discharges,uses,argon,Plasma Source,Medium
spatio temporal development,hasMedium,O 2 content,Scientific Experiment,Medium
tubular casing,measures,flow,Diagnostic Device,Quantity
time scales,hasUnit,ms,Quantity,Unit
plasma generating unit,measures,flow rate,Diagnostic Device,Quantity
switching circuits,usedIn_ResearchActivity_hasPlasmaSource,output current,Diagnostic Device,Plasma Source
kHz,unit_of,temperature,Unit,Quantity
resistivity,generatedBy_measures,volume,Plasma Study,Quantity
microdischarge,measures,energies,Plasma Source,Quantity
ns,unit_of,effective lifetime,Unit,Quantity
DBDs,measures,breakdown,Plasma Source,Quantity
plasma generation tube,usedIn_ResearchActivity_investigates,diffusing,Diagnostic Device,Physical Effect
ICP,hasApplicationField,plasma processing,Plasma Study,Application Field
jitter correction,hasPlasmaSource,MDs,Scientific Experiment,Plasma Source
cd m 2,unit_of,lifetimes,Unit,Quantity
electron gains,hasUnit,K,Quantity,Unit
ms,unit_of,specific energy input,Unit,Quantity
streak camera imaging,investigates,photodetachment,Scientific Experiment,Physical Effect
single shots,hasPlasmaSource_generates,discharge morphologies,Scientific Experiment,Plasma Study
1vol,unit_of,discharge,Unit,Quantity
μm,unit_of,aspect ratios,Unit,Quantity
gases,used_in,microdischarges,Medium,Plasma Source
air fed,used_in,silent discharge,Medium,Plasma Source
gas gap widths,hasUnit,mm,Quantity,Unit
experimental condition,usesDevice_Device_measures,voltage,Scientific Experiment,Quantity
electric arc,uses,non -oxidising gas,Plasma Source,Medium
condenser,usedIn_ResearchActivity_investigates,catalysis,Diagnostic Device,Physical Effect
microwave discharge,uses,water,Plasma Source,Medium
spatial and temporal resolutions,investigates,discharge inception,Scientific Experiment,Physical Effect
observed,hasPlasmaSource_generates,low pressure plasmas,Scientific Experiment,Plasma Study
experimental data,usesDevice_Device_measures,reduced electric field strength,Scientific Experiment,Quantity
devices,usedIn_ResearchActivity_investigates,optical emission,Diagnostic Device,Physical Effect
Experimental details,usesDevice_Device_measures,transferred charge,Scientific Experiment,Quantity
Quanta Ray GCR 130,measures,energy,Diagnostic Device,Quantity
pressures,hasUnit,MPa,Quantity,Unit
vol,unit_of,volume,Unit,Quantity
dielectric tube,measures,heat,Plasma Source,Quantity
propulsion device,usedIn_ResearchActivity_investigates,plasma ignition,Diagnostic Device,Physical Effect
discharge topology,generatedBy_measures,volume,Plasma Study,Quantity
nanosecond,unit_of,mobility,Unit,Quantity
streak camera,measures,discharge emission,Diagnostic Device,Quantity
magnetic filter,usedIn_ResearchActivity_hasPlasmaSource,inductively coupled,Diagnostic Device,Plasma Source
chamber,usedIn_ResearchActivity_hasPlasmaSource,thermal,Diagnostic Device,Plasma Source
far field microscope,measures,current pulse,Diagnostic Device,Quantity
ns pulsed,unit_of,applied voltage,Unit,Quantity
nm,unit_of,delay,Unit,Quantity
µs,unit_of,voltage half period,Unit,Quantity
APTD,measures,gap distance,Plasma Source,Quantity
exciting electrodes,measures,breakdown voltage,Plasma Source,Quantity
µm,unit_of,O 2 concentrations,Unit,Quantity
